row	strain	query	array	present	category
122	PRE7g7-CC32	PRE7g7	CC32	no	single
123	PRE7g7-CC34	PRE7g7	CC34	no	single
124	PRE7g7-CC35	PRE7g7	CC35	no	single
125	PRE7g7-CC36	PRE7g7	CC36	no	single
126	PRE7g7-CC11	PRE7g7	CC11	no	single
127	PRE7g7-CC14	PRE7g7	CC14	yes	single
128	PRE7g7-CC15	PRE7g7	CC15	yes	single
129	PRE7g7-CC2	PRE7g7	CC2	yes	single
130	PRE7g7-CC22	PRE7g7	CC22	no	single
131	PRE7g7-CC26	PRE7g7	CC26	no	single
132	PRE7g7-CC7	PRE7g7	CC7	no	single
133	PRE4g9-CC5	PRE4g9	CC5	yes	single
134	PRE4g9-CC8	PRE4g9	CC8	no	single
135	PRE4g9-CC16	PRE4g9	CC16	yes	single
136	PRE4g9-CC17	PRE4g9	CC17	no	single
137	PRE4g9-CC19	PRE4g9	CC19	no	single
138	PRE4g9-CC20	PRE4g9	CC20	no	single
139	PRE4g9-CC23	PRE4g9	CC23	no	single
140	PRE4g9-CC25	PRE4g9	CC25	no	single
141	PRE4g9-CC27	PRE4g9	CC27	no	single
142	PRE4g9-CC28	PRE4g9	CC28	no	single
143	PRE4g9-CC30	PRE4g9	CC30	no	single
144	PRE4g9-CC32	PRE4g9	CC32	no	single
145	PRE4g9-CC34	PRE4g9	CC34	no	single
146	PRE4g9-CC35	PRE4g9	CC35	no	single
147	PRE4g9-CC36	PRE4g9	CC36	no	single
148	PRE4g9-CC11	PRE4g9	CC11	no	single
149	PRE4g9-CC14	PRE4g9	CC14	yes	single
150	PRE4g9-CC15	PRE4g9	CC15	yes	single
151	PRE4g9-CC2	PRE4g9	CC2	yes	single
152	PRE4g9-CC22	PRE4g9	CC22	no	single
153	PRE4g9-CC26	PRE4g9	CC26	no	single
154	PRE4g9-CC7	PRE4g9	CC7	no	single
155	PRE4g3-CC5	PRE4g3	CC5	no	single
156	PRE4g3-CC8	PRE4g3	CC8	yes	single
157	PRE4g3-CC16	PRE4g3	CC16	no	single
158	PRE4g3-CC17	PRE4g3	CC17	yes	single
159	PRE4g3-CC19	PRE4g3	CC19	yes	single
160	PRE4g3-CC20	PRE4g3	CC20	yes	single
161	PRE4g3-CC23	PRE4g3	CC23	yes	single
162	PRE4g3-CC25	PRE4g3	CC25	yes	single
163	PRE4g3-CC27	PRE4g3	CC27	yes	single
164	PRE4g3-CC28	PRE4g3	CC28	yes	single
165	PRE4g3-CC30	PRE4g3	CC30	yes	single
166	PRE4g3-CC32	PRE4g3	CC32	yes	single
167	PRE4g3-CC34	PRE4g3	CC34	yes	single
168	PRE4g3-CC35	PRE4g3	CC35	yes	single
