row	strain	query	array	present	category
6486	PRE4g3-ALG14-NRg-4	PRE4g3	ALG14-NRg-4	yes	double
6487	PRE4g3-ALG14-NRg-1	PRE4g3	ALG14-NRg-1	yes	double
6488	PRE4g3-PRE5-NRg-1	PRE4g3	PRE5-NRg-1	yes	double
6489	PRE4g3-BIG1-NRg-2	PRE4g3	BIG1-NRg-2	yes	double
6490	PRE4g3-TFA2-TRg-4	PRE4g3	TFA2-TRg-4	yes	double
6491	PRE4g3-IMP4-TRg-6	PRE4g3	IMP4-TRg-6	yes	double
6492	PRE4g3-PAN1-NRg-1	PRE4g3	PAN1-NRg-1	yes	double
6493	PRE4g3-UTP13-TRg-2	PRE4g3	UTP13-TRg-2	yes	double
6494	PRE4g3-KAE1-NRg-3	PRE4g3	KAE1-NRg-3	yes	double
6495	PRE4g3-ERG20-TRg-1	PRE4g3	ERG20-TRg-1	yes	double
6496	PRE4g3-CDC20-TRg-6	PRE4g3	CDC20-TRg-6	yes	double
6497	PRE4g3-PWP2-NRg-2	PRE4g3	PWP2-NRg-2	yes	double
6498	PRE4g3-COG1-NRg-1	PRE4g3	COG1-NRg-1	yes	double
6499	PRE4g3-RPL1B-TRg-4	PRE4g3	RPL1B-TRg-4	yes	double
6500	PRE4g3-RPL1B-TRg-7	PRE4g3	RPL1B-TRg-7	yes	double
6501	PRE4g3-UTP20-TRg-3	PRE4g3	UTP20-TRg-3	yes	double
6502	PRE4g3-UTP20-TRg-4	PRE4g3	UTP20-TRg-4	yes	double
6503	PRE4g3-RPL25-TRg-4	PRE4g3	RPL25-TRg-4	yes	double
6504	PRE4g3-RPL25-TRg-2	PRE4g3	RPL25-TRg-2	yes	double
6505	PRE4g3-MCM7-NRg-1	PRE4g3	MCM7-NRg-1	yes	double
6506	PRE4g3-MRP49-TRg-5	PRE4g3	MRP49-TRg-5	yes	double
6507	PRE4g3-ERO1-NRg-3	PRE4g3	ERO1-NRg-3	yes	double
6508	PRE4g3-UTP5-TRg-7	PRE4g3	UTP5-TRg-7	yes	double
6509	PRE4g3-MCM4-NRg-1	PRE4g3	MCM4-NRg-1	yes	double
6510	PRE4g3-PRE3-NRg-1	PRE4g3	PRE3-NRg-1	yes	double
6511	PRE4g3-FCF1-NRg-1	PRE4g3	FCF1-NRg-1	yes	double
6512	PRE4g3-CUS1-NRg-1	PRE4g3	CUS1-NRg-1	yes	double
6513	PRE4g3-PSF1-TRg-2	PRE4g3	PSF1-TRg-2	yes	double
6514	PRE4g3-BCP1-TRg-2	PRE4g3	BCP1-TRg-2	yes	double
6515	PRE4g3-PAN1-TRg-1	PRE4g3	PAN1-TRg-1	yes	double
6516	PRE4g3-PAN1-TRg-3	PRE4g3	PAN1-TRg-3	yes	double
6517	PRE4g3-PAN1-TRg-4	PRE4g3	PAN1-TRg-4	yes	double
6518	PRE4g3-VPS3-TRg-2	PRE4g3	VPS3-TRg-2	yes	double
6519	PRE4g3-YIL060W-NRg-1	PRE4g3	YIL060W-NRg-1	yes	double
6520	PRE4g3-VPS53-NRg-1	PRE4g3	VPS53-NRg-1	yes	double
6521	PRE4g3-CYR1-TRg-4	PRE4g3	CYR1-TRg-4	yes	double
6522	PRE4g3-CYR1-TRg-7	PRE4g3	CYR1-TRg-7	yes	double
6523	PRE4g3-MPS1-NRg-1	PRE4g3	MPS1-NRg-1	yes	double
6524	PRE4g3-SRP1-TRg-5	PRE4g3	SRP1-TRg-5	yes	double
6525	PRE4g3-SRP1-TRg-4	PRE4g3	SRP1-TRg-4	yes	double
6526	PRE4g3-TAF12-TRg-2	PRE4g3	TAF12-TRg-2	yes	double
6527	PRE4g3-TAF12-TRg-3	PRE4g3	TAF12-TRg-3	yes	double
6528	PRE4g3-POP4-TRg-1	PRE4g3	POP4-TRg-1	yes	double
6529	PRE4g3-SPT16-TRg-1	PRE4g3	SPT16-TRg-1	yes	double
6530	PRE4g3-NUP82-TRg-4	PRE4g3	NUP82-TRg-4	yes	double
6531	PRE4g3-DML1-TRg-3	PRE4g3	DML1-TRg-3	yes	double
6532	PRE4g3-RPA43-NRg-3	PRE4g3	RPA43-NRg-3	yes	double
6533	PRE4g3-STU2-NRg-3	PRE4g3	STU2-NRg-3	yes	double
6534	PRE4g3-POP4-NRg-4	PRE4g3	POP4-NRg-4	yes	double
6535	PRE4g3-MCD1-TRg-2	PRE4g3	MCD1-TRg-2	yes	double
6536	PRE4g3-RPS3-NRg-4	PRE4g3	RPS3-NRg-4	yes	double
6537	PRE4g3-PRP9-TRg-4	PRE4g3	PRP9-TRg-4	yes	double
6538	PRE4g3-RPP1-NRg-2	PRE4g3	RPP1-NRg-2	yes	double
6539	PRE4g3-MTR2-NRg-11	PRE4g3	MTR2-NRg-11	yes	double
6540	PRE4g3-GCD11-TRg-1	PRE4g3	GCD11-TRg-1	yes	double
6541	PRE4g3-RPF1-TRg-3	PRE4g3	RPF1-TRg-3	yes	double
6542	PRE4g3-SUB2-NRg-4	PRE4g3	SUB2-NRg-4	yes	double
6543	PRE4g3-GPI15-TRg-3	PRE4g3	GPI15-TRg-3	yes	double
6544	PRE4g3-ERG9-TRg-6	PRE4g3	ERG9-TRg-6	yes	double
6545	PRE4g3-RPT2-NRg-1	PRE4g3	RPT2-NRg-1	yes	double
6546	PRE4g3-YOS1-NRg-3	PRE4g3	YOS1-NRg-3	yes	double
6547	PRE4g3-SCM3-TRg-4	PRE4g3	SCM3-TRg-4	yes	double
6548	PRE4g3-SCM3-TRg-6	PRE4g3	SCM3-TRg-6	yes	double
6549	PRE4g3-RLP7-NRg-1	PRE4g3	RLP7-NRg-1	yes	double
6550	PRE4g3-TFB2-NRg-4	PRE4g3	TFB2-NRg-4	yes	double
6551	PRE4g3-IMP4-TRg-1	PRE4g3	IMP4-TRg-1	yes	double
6552	PRE4g3-IMP4-TRg-3	PRE4g3	IMP4-TRg-3	yes	double
6553	PRE4g3-PRE4-TRg-3	PRE4g3	PRE4-TRg-3	yes	double
6554	PRE4g3-SUB2-TRg-3	PRE4g3	SUB2-TRg-3	yes	double
6555	PRE4g3-RPP0-NRg-4	PRE4g3	RPP0-NRg-4	yes	double
6556	PRE4g3-RPP0-NRg-3	PRE4g3	RPP0-NRg-3	yes	double
6557	PRE4g3-TOM40-TRg-4	PRE4g3	TOM40-TRg-4	yes	double
6558	PRE4g3-FUR1-NRg-12	PRE4g3	FUR1-NRg-12	yes	double
6559	PRE4g3-TOM40-TRg-2	PRE4g3	TOM40-TRg-2	yes	double
6560	PRE4g3-VMA11-NRg-4	PRE4g3	VMA11-NRg-4	yes	double
6561	PRE4g3-PGS1-NRg-4	PRE4g3	PGS1-NRg-4	yes	double
6562	PRE4g3-URB1-TRg-4	PRE4g3	URB1-TRg-4	yes	double
6563	PRE4g3-ARP4-TRg-3	PRE4g3	ARP4-TRg-3	yes	double
6564	PRE4g3-RPT3-TRg-3	PRE4g3	RPT3-TRg-3	yes	double
6565	PRE4g3-SUI3-TRg-3	PRE4g3	SUI3-TRg-3	yes	double
6566	PRE4g3-RFC5-NRg-2	PRE4g3	RFC5-NRg-2	yes	double
6567	PRE4g3-RRP14-TRg-2	PRE4g3	RRP14-TRg-2	yes	double
6568	PRE4g3-SCC2-TRg-1	PRE4g3	SCC2-TRg-1	yes	double
6569	PRE4g3-SSC1-TRg-3	PRE4g3	SSC1-TRg-3	yes	double
6570	PRE4g3-RRP9-TRg-3	PRE4g3	RRP9-TRg-3	yes	double
6571	PRE4g3-MOT1-NRg-9	PRE4g3	MOT1-NRg-9	yes	double
6572	PRE4g3-RPL42A-NRg-2	PRE4g3	RPL42A-NRg-2	yes	double
6573	PRE4g3-SEC16-TRg-7	PRE4g3	SEC16-TRg-7	yes	double
6574	PRE4g3-IMP4-NRg-2	PRE4g3	IMP4-NRg-2	yes	double
6575	PRE4g3-YEF3-NRg-4	PRE4g3	YEF3-NRg-4	yes	double
6576	PRE4g3-PUP1-TRg-1	PRE4g3	PUP1-TRg-1	yes	double
6577	PRE4g3-UTP22-TRg-6	PRE4g3	UTP22-TRg-6	yes	double
6578	PRE4g3-DBP2-NRg-4	PRE4g3	DBP2-NRg-4	yes	double
6579	PRE4g3-PRE2-TRg-7	PRE4g3	PRE2-TRg-7	yes	double
6580	PRE4g3-ATP16-TRg-6	PRE4g3	ATP16-TRg-6	yes	double
6581	PRE4g3-UTP13-TRg-4	PRE4g3	UTP13-TRg-4	yes	double
6582	PRE4g3-DOP1-NRg-4	PRE4g3	DOP1-NRg-4	yes	double
6583	PRE4g3-TIM44-TRg-3	PRE4g3	TIM44-TRg-3	yes	double
6584	PRE4g3-ATP16-TRg-2	PRE4g3	ATP16-TRg-2	yes	double
6585	PRE4g3-ENP1-NRg-3	PRE4g3	ENP1-NRg-3	yes	double
6586	PRE4g3-NAF1-TRg-3	PRE4g3	NAF1-TRg-3	yes	double
6587	PRE4g3-COG4-TRg-2	PRE4g3	COG4-TRg-2	yes	double
6588	PRE4g3-SOG2-TRg-7	PRE4g3	SOG2-TRg-7	yes	double
6589	PRE4g3-YDR341C-TRg-3	PRE4g3	YDR341C-TRg-3	yes	double
6590	PRE4g3-YMR290W-A-TRg-10	PRE4g3	YMR290W-A-TRg-10	yes	double
6591	PRE4g3-NUP192-NRg-9	PRE4g3	NUP192-NRg-9	yes	double
6592	PRE4g3-RPS31-NRg-8	PRE4g3	RPS31-NRg-8	yes	double
6593	PRE4g3-SPC97-NRg-6	PRE4g3	SPC97-NRg-6	yes	double
6594	PRE4g3-EBP2-NRg-1	PRE4g3	EBP2-NRg-1	yes	double
6595	PRE4g3-CDC48-TRg-5	PRE4g3	CDC48-TRg-5	yes	double
6596	PRE4g3-RPT1-TRg-4	PRE4g3	RPT1-TRg-4	yes	double
6597	PRE4g3-ULP1-NRg-2	PRE4g3	ULP1-NRg-2	yes	double
6598	PRE4g3-RPN3-TRg-6	PRE4g3	RPN3-TRg-6	yes	double
6599	PRE4g3-RPT1-TRg-5	PRE4g3	RPT1-TRg-5	yes	double
6600	PRE4g3-KRE5-TRg-2	PRE4g3	KRE5-TRg-2	yes	double
6601	PRE4g3-TBF1-NRg-8	PRE4g3	TBF1-NRg-8	yes	double
6602	PRE4g3-UTP22-NRg-4	PRE4g3	UTP22-NRg-4	yes	double
6603	PRE4g3-SSC1-NRg-4	PRE4g3	SSC1-NRg-4	yes	double
6604	PRE4g3-REB1-TRg-4	PRE4g3	REB1-TRg-4	yes	double
6605	PRE4g3-CDC48-NRg-9	PRE4g3	CDC48-NRg-9	yes	double
6606	PRE4g3-FAS2-TRg-8	PRE4g3	FAS2-TRg-8	yes	double
6607	PRE4g3-TAO3-TRg-8	PRE4g3	TAO3-TRg-8	yes	double
6608	PRE4g3-CKS1-TRg-5	PRE4g3	CKS1-TRg-5	yes	double
6609	PRE4g3-YLR379W-TRg-7	PRE4g3	YLR379W-TRg-7	yes	double
6610	PRE4g3-TEN1-NRg-2	PRE4g3	TEN1-NRg-2	yes	double
6611	PRE4g3-RPL42A-TRg-2	PRE4g3	RPL42A-TRg-2	yes	double
6612	PRE4g3-SEC27-TRg-4	PRE4g3	SEC27-TRg-4	yes	double
6613	PRE4g3-TBF1-NRg-4	PRE4g3	TBF1-NRg-4	yes	double
6614	PRE4g3-RPT1-NRg-6	PRE4g3	RPT1-NRg-6	yes	double
6615	PRE4g3-COG1-TRg-3	PRE4g3	COG1-TRg-3	yes	double
6616	PRE4g3-SUI1-TRg-6	PRE4g3	SUI1-TRg-6	yes	double
6617	PRE4g3-TIM23-TRg-6	PRE4g3	TIM23-TRg-6	yes	double
6618	PRE4g3-CDC48-NRg-6	PRE4g3	CDC48-NRg-6	yes	double
6619	PRE4g3-EPL1-TRg-5	PRE4g3	EPL1-TRg-5	yes	double
6620	PRE4g3-RPT5-TRg-8	PRE4g3	RPT5-TRg-8	yes	double
6621	PRE4g3-ATP16-NRg-4	PRE4g3	ATP16-NRg-4	yes	double
6622	PRE4g3-RPN6-TRg-3	PRE4g3	RPN6-TRg-3	yes	double
6623	PRE4g3-ERG9-NRg-6	PRE4g3	ERG9-NRg-6	yes	double
6624	PRE4g3-SMX3-TRg-1	PRE4g3	SMX3-TRg-1	yes	double
6625	PRE4g3-NCB2-NRg-3	PRE4g3	NCB2-NRg-3	yes	double
6626	PRE4g3-SEC16-NRg-12	PRE4g3	SEC16-NRg-12	yes	double
6627	PRE4g3-RPN6-TRg-2	PRE4g3	RPN6-TRg-2	yes	double
6628	PRE4g3-REB1-NRg-4	PRE4g3	REB1-NRg-4	yes	double
6629	PRE4g3-ATP16-TRg-9	PRE4g3	ATP16-TRg-9	yes	double
6630	PRE4g3-ERG9-NRg-7	PRE4g3	ERG9-NRg-7	yes	double
6631	RPN5g1-RPL15A-NRg-4	RPN5g1	RPL15A-NRg-4	yes	double
6632	RPN5g1-RPL15A-NRg-5	RPN5g1	RPL15A-NRg-5	yes	double
6633	RPN5g1-KRE33-TRg-1	RPN5g1	KRE33-TRg-1	yes	double
6634	RPN5g1-PMI40-NRg-1	RPN5g1	PMI40-NRg-1	yes	double
6635	RPN5g1-NOP19-NRg-3	RPN5g1	NOP19-NRg-3	yes	double
6636	RPN5g1-SRP14-NRg-4	RPN5g1	SRP14-NRg-4	yes	double
6637	RPN5g1-SEC27-TRg-2	RPN5g1	SEC27-TRg-2	yes	double
6638	RPN5g1-GPI14-TRg-3	RPN5g1	GPI14-TRg-3	yes	double
6639	RPN5g1-PAH1-TRg-7	RPN5g1	PAH1-TRg-7	yes	double
6640	RPN5g1-PAH1-TRg-6	RPN5g1	PAH1-TRg-6	yes	double
6641	RPN5g1-PAH1-TRg-5	RPN5g1	PAH1-TRg-5	yes	double
6642	RPN5g1-PAH1-TRg-3	RPN5g1	PAH1-TRg-3	yes	double
6643	RPN5g1-COG3-TRg-1	RPN5g1	COG3-TRg-1	yes	double
6644	RPN5g1-HTS1-NRg-5	RPN5g1	HTS1-NRg-5	yes	double
6645	RPN5g1-MSN5-TRg-7	RPN5g1	MSN5-TRg-7	yes	double
6646	RPN5g1-ERG26-TRg-1	RPN5g1	ERG26-TRg-1	yes	double
6647	RPN5g1-SMD2-TRg-5	RPN5g1	SMD2-TRg-5	yes	double
6648	RPN5g1-SMD2-TRg-4	RPN5g1	SMD2-TRg-4	yes	double
6649	RPN5g1-SMD2-TRg-1	RPN5g1	SMD2-TRg-1	yes	double
6650	RPN5g1-PRE7-TRg-4	RPN5g1	PRE7-TRg-4	yes	double
6651	RPN5g1-PRE7-TRg-7	RPN5g1	PRE7-TRg-7	yes	double
6652	RPN5g1-SEC6-TRg-3	RPN5g1	SEC6-TRg-3	yes	double
6653	RPN5g1-ESF2-NRg-1	RPN5g1	ESF2-NRg-1	yes	double
6654	RPN5g1-ESF2-NRg-3	RPN5g1	ESF2-NRg-3	yes	double
6655	RPN5g1-AFG2-TRg-2	RPN5g1	AFG2-TRg-2	yes	double
6656	RPN5g1-RRP36-TRg-3	RPN5g1	RRP36-TRg-3	yes	double
6657	RPN5g1-RRP36-TRg-5	RPN5g1	RRP36-TRg-5	yes	double
6658	RPN5g1-GCR1-NRg-2	RPN5g1	GCR1-NRg-2	yes	double
6659	RPN5g1-PRE4-NRg-4	RPN5g1	PRE4-NRg-4	yes	double
6660	RPN5g1-PRE4-NRg-9	RPN5g1	PRE4-NRg-9	yes	double
6661	RPN5g1-DSN1-NRg-2	RPN5g1	DSN1-NRg-2	yes	double
6662	RPN5g1-GPI11-TRg-3	RPN5g1	GPI11-TRg-3	yes	double
6663	RPN5g1-POP3-TRg-1	RPN5g1	POP3-TRg-1	yes	double
6664	RPN5g1-MNE1-TRg-5	RPN5g1	MNE1-TRg-5	yes	double
6665	RPN5g1-RRP12-NRg-1	RPN5g1	RRP12-NRg-1	yes	double
6666	RPN5g1-RSC6-TRg-2	RPN5g1	RSC6-TRg-2	yes	double
6667	RPN5g1-CDC25-TRg-1	RPN5g1	CDC25-TRg-1	yes	double
6668	RPN5g1-CDC25-TRg-9	RPN5g1	CDC25-TRg-9	yes	double
6669	RPN5g1-YPP1-NRg-3	RPN5g1	YPP1-NRg-3	yes	double
6670	RPN5g1-NFS1-NRg-9	RPN5g1	NFS1-NRg-9	yes	double
6671	RPN5g1-NFS1-NRg-8	RPN5g1	NFS1-NRg-8	yes	double
6672	RPN5g1-UBA2-TRg-1	RPN5g1	UBA2-TRg-1	yes	double
6673	RPN5g1-ARP2-NRg-3	RPN5g1	ARP2-NRg-3	yes	double
6674	RPN5g1-MAK16-TRg-1	RPN5g1	MAK16-TRg-1	yes	double
6675	RPN5g1-CEP3-NRg-1	RPN5g1	CEP3-NRg-1	yes	double
6676	RPN5g1-GUK1-TRg-5	RPN5g1	GUK1-TRg-5	yes	double
6677	RPN5g1-GUK1-TRg-2	RPN5g1	GUK1-TRg-2	yes	double
6678	RPN5g1-GPI12-NRg-6	RPN5g1	GPI12-NRg-6	yes	double
6679	RPN5g1-RPS5-NRg-5	RPN5g1	RPS5-NRg-5	yes	double
6680	RPN5g1-RPS5-NRg-2	RPN5g1	RPS5-NRg-2	yes	double
6681	RPN5g1-RPC19-NRg-1	RPN5g1	RPC19-NRg-1	yes	double
6682	RPN5g1-TIM54-TRg-1	RPN5g1	TIM54-TRg-1	yes	double
6683	RPN5g1-TEN1-TRg-2	RPN5g1	TEN1-TRg-2	yes	double
6684	RPN5g1-SAH1-NRg-4	RPN5g1	SAH1-NRg-4	yes	double
6685	RPN5g1-SAH1-NRg-5	RPN5g1	SAH1-NRg-5	yes	double
6686	RPN5g1-SAH1-NRg-3	RPN5g1	SAH1-NRg-3	yes	double
6687	RPN5g1-ATP15-NRg-5	RPN5g1	ATP15-NRg-5	yes	double
6688	RPN5g1-SCD5-TRg-5	RPN5g1	SCD5-TRg-5	yes	double
6689	RPN5g1-ARB1-NRg-2	RPN5g1	ARB1-NRg-2	yes	double
6690	RPN5g1-ARB1-NRg-4	RPN5g1	ARB1-NRg-4	yes	double
6691	RPN5g1-PUP2-TRg-1	RPN5g1	PUP2-TRg-1	yes	double
6692	RPN5g1-CCT8-TRg-2	RPN5g1	CCT8-TRg-2	yes	double
6693	RPN5g1-MCM4-TRg-1	RPN5g1	MCM4-TRg-1	yes	double
6694	RPN5g1-LSM4-TRg-1	RPN5g1	LSM4-TRg-1	yes	double
6695	RPN5g1-NOP53-NRg-1	RPN5g1	NOP53-NRg-1	yes	double
6696	RPN5g1-ATP3-TRg-4	RPN5g1	ATP3-TRg-4	yes	double
6697	RPN5g1-AFG2-NRg-3	RPN5g1	AFG2-NRg-3	yes	double
6698	RPN5g1-PRO3-NRg-3	RPN5g1	PRO3-NRg-3	yes	double
6699	RPN5g1-NRD1-NRg-10	RPN5g1	NRD1-NRg-10	yes	double
6700	RPN5g1-SEC61-TRg-2	RPN5g1	SEC61-TRg-2	yes	double
6701	RPN5g1-RHO3-TRg-4	RPN5g1	RHO3-TRg-4	yes	double
6702	RPN5g1-SNF2-TRg-6	RPN5g1	SNF2-TRg-6	yes	double
6703	RPN5g1-SMD2-NRg-3	RPN5g1	SMD2-NRg-3	yes	double
6704	RPN5g1-RSC4-TRg-2	RPN5g1	RSC4-TRg-2	yes	double
6705	RPN5g1-RSC4-TRg-1	RPN5g1	RSC4-TRg-1	yes	double
6706	RPN5g1-TIF34-TRg-2	RPN5g1	TIF34-TRg-2	yes	double
6707	RPN5g1-BET1-NRg-1	RPN5g1	BET1-NRg-1	yes	double
6708	RPN5g1-CDC8-NRg-2	RPN5g1	CDC8-NRg-2	yes	double
6709	RPN5g1-PRP42-TRg-2	RPN5g1	PRP42-TRg-2	yes	double
6710	RPN5g1-RRB1-TRg-2	RPN5g1	RRB1-TRg-2	yes	double
6711	RPN5g1-SPC24-TRg-1	RPN5g1	SPC24-TRg-1	yes	double
6712	RPN5g1-ILS1-NRg-1	RPN5g1	ILS1-NRg-1	yes	double
6713	RPN5g1-GFA1-TRg-2	RPN5g1	GFA1-TRg-2	yes	double
6714	RPN5g1-SEC21-NRg-10	RPN5g1	SEC21-NRg-10	yes	double
6715	RPN5g1-RPC10-NRg-1	RPN5g1	RPC10-NRg-1	yes	double
6716	RPN5g1-RPB10-TRg-3	RPN5g1	RPB10-TRg-3	yes	double
6717	RPN5g1-RPB10-TRg-2	RPN5g1	RPB10-TRg-2	yes	double
6718	RPN5g1-YNL181W-TRg-1	RPN5g1	YNL181W-TRg-1	yes	double
6719	RPN5g1-RAD3-NRg-1	RPN5g1	RAD3-NRg-1	yes	double
6720	RPN5g1-NOP10-TRg-1	RPN5g1	NOP10-TRg-1	yes	double
6721	RPN5g1-BFR2-TRg-3	RPN5g1	BFR2-TRg-3	yes	double
6722	RPN5g1-MCM2-TRg-6	RPN5g1	MCM2-TRg-6	yes	double
6723	RPN5g1-MCM2-TRg-4	RPN5g1	MCM2-TRg-4	yes	double
6724	RPN5g1-MPP10-TRg-1	RPN5g1	MPP10-TRg-1	yes	double
6725	RPN5g1-RET2-TRg-4	RPN5g1	RET2-TRg-4	yes	double
6726	RPN5g1-RET2-TRg-1	RPN5g1	RET2-TRg-1	yes	double
6727	RPN5g1-RPS2-NRg-1	RPN5g1	RPS2-NRg-1	yes	double
6728	RPN5g1-RPS2-NRg-2	RPN5g1	RPS2-NRg-2	yes	double
6729	RPN5g1-ORC4-NRg-3	RPN5g1	ORC4-NRg-3	yes	double
6730	RPN5g1-TIP20-TRg-7	RPN5g1	TIP20-TRg-7	yes	double
6731	RPN5g1-SMT3-TRg-1	RPN5g1	SMT3-TRg-1	yes	double
6732	RPN5g1-MSS18-NRg-6	RPN5g1	MSS18-NRg-6	yes	double
6733	RPN5g1-YEF3-NRg-9	RPN5g1	YEF3-NRg-9	yes	double
6734	RPN5g1-ASK1-NRg-1	RPN5g1	ASK1-NRg-1	yes	double
6735	RPN5g1-SMC1-TRg-1	RPN5g1	SMC1-TRg-1	yes	double
6736	RPN5g1-NIP1-NRg-1	RPN5g1	NIP1-NRg-1	yes	double
6737	RPN5g1-RPP1-NRg-1	RPN5g1	RPP1-NRg-1	yes	double
6738	RPN5g1-YDJ1-TRg-6	RPN5g1	YDJ1-TRg-6	yes	double
6739	RPN5g1-SUB2-NRg-1	RPN5g1	SUB2-NRg-1	yes	double
6740	RPN5g1-TIM10-NRg-8	RPN5g1	TIM10-NRg-8	yes	double
6741	RPN5g1-TIM10-NRg-4	RPN5g1	TIM10-NRg-4	yes	double
6742	RPN5g1-TIM10-NRg-7	RPN5g1	TIM10-NRg-7	yes	double
6743	RPN5g1-SKI6-TRg-4	RPN5g1	SKI6-TRg-4	yes	double
6744	RPN5g1-TUB4-TRg-1	RPN5g1	TUB4-TRg-1	yes	double
6745	RPN5g1-CDC37-NRg-2	RPN5g1	CDC37-NRg-2	yes	double
6746	RPN5g1-ISD11-TRg-3	RPN5g1	ISD11-TRg-3	yes	double
6747	RPN5g1-YOS1-TRg-4	RPN5g1	YOS1-TRg-4	yes	double
6748	RPN5g1-SSC1-TRg-6	RPN5g1	SSC1-TRg-6	yes	double
6749	RPN5g1-MTR3-TRg-5	RPN5g1	MTR3-TRg-5	yes	double
6750	RPN5g1-MTR3-TRg-6	RPN5g1	MTR3-TRg-6	yes	double
6751	RPN5g1-TFA1-TRg-2	RPN5g1	TFA1-TRg-2	yes	double
6752	RPN5g1-CDC3-NRg-3	RPN5g1	CDC3-NRg-3	yes	double
6753	RPN5g1-ERG25-TA-18	RPN5g1	ERG25-TA-18	yes	double
6754	RPN5g1-RPB11-TRg-4	RPN5g1	RPB11-TRg-4	yes	double
6755	RPN5g1-RPB11-TRg-1	RPN5g1	RPB11-TRg-1	yes	double
6756	RPN5g1-RPB11-TRg-2	RPN5g1	RPB11-TRg-2	yes	double
6757	RPN5g1-DED1-TRg-3	RPN5g1	DED1-TRg-3	yes	double
6758	RPN5g1-DED1-TRg-1	RPN5g1	DED1-TRg-1	yes	double
6759	RPN5g1-DED1-TRg-6	RPN5g1	DED1-TRg-6	yes	double
6760	RPN5g1-DED1-TRg-4	RPN5g1	DED1-TRg-4	yes	double
6761	RPN5g1-RPL10-NRg-5	RPN5g1	RPL10-NRg-5	yes	double
6762	RPN5g1-RPL10-NRg-4	RPN5g1	RPL10-NRg-4	yes	double
6763	RPN5g1-EFB1-NRg-1	RPN5g1	EFB1-NRg-1	yes	double
6764	RPN5g1-EFB1-NRg-5	RPN5g1	EFB1-NRg-5	yes	double
6765	RPN5g1-EFB1-NRg-4	RPN5g1	EFB1-NRg-4	yes	double
6766	RPN5g1-RPT3-NRg-1	RPN5g1	RPT3-NRg-1	yes	double
6767	RPN5g1-SAC6-TRg-8	RPN5g1	SAC6-TRg-8	yes	double
6768	RPN5g1-SAC6-TRg-4	RPN5g1	SAC6-TRg-4	yes	double
6769	RPN5g1-SAC6-TRg-5	RPN5g1	SAC6-TRg-5	yes	double
6770	RPN5g1-SAC6-TRg-3	RPN5g1	SAC6-TRg-3	yes	double
6771	RPN5g1-DIM1-TRg-5	RPN5g1	DIM1-TRg-5	yes	double
6772	RPN5g1-DIM1-TRg-7	RPN5g1	DIM1-TRg-7	yes	double
6773	RPN5g1-RPC17-NRg-1	RPN5g1	RPC17-NRg-1	yes	double
6774	RPN5g1-RPC17-NRg-2	RPN5g1	RPC17-NRg-2	yes	double
6775	RPN5g1-YDR341C-TRg-1	RPN5g1	YDR341C-TRg-1	yes	double
6776	RPN5g1-RAP1-NRg-8	RPN5g1	RAP1-NRg-8	yes	double
6777	RPN5g1-RAP1-NRg-5	RPN5g1	RAP1-NRg-5	yes	double
6778	RPN5g1-RAP1-NRg-2	RPN5g1	RAP1-NRg-2	yes	double
6779	RPN5g1-SEC26-NRg-3	RPN5g1	SEC26-NRg-3	yes	double
6780	RPN5g1-SPP41-TRg-3	RPN5g1	SPP41-TRg-3	yes	double
6781	RPN5g1-TAP42-NRg-1	RPN5g1	TAP42-NRg-1	yes	double
6782	RPN5g1-PGA2-TRg-6	RPN5g1	PGA2-TRg-6	yes	double
6783	RPN5g1-BRL1-TRg-1	RPN5g1	BRL1-TRg-1	yes	double
6784	RPN5g1-FOL2-TRg-1	RPN5g1	FOL2-TRg-1	yes	double
6785	RPN5g1-NAB3-NRg-5	RPN5g1	NAB3-NRg-5	yes	double
6786	RPN5g1-SNF4-TRg-4	RPN5g1	SNF4-TRg-4	yes	double
6787	RPN5g1-HRR25-TRg-2	RPN5g1	HRR25-TRg-2	yes	double
6788	RPN5g1-TRS23-TRg-4	RPN5g1	TRS23-TRg-4	yes	double
6789	RPN5g1-CTR86-TRg-4	RPN5g1	CTR86-TRg-4	yes	double
6790	RPN5g1-RPB5-TRg-5	RPN5g1	RPB5-TRg-5	yes	double
6791	RPN5g1-SPN1-NRg-2	RPN5g1	SPN1-NRg-2	yes	double
6792	RPN5g1-SPN1-NRg-1	RPN5g1	SPN1-NRg-1	yes	double
6793	RPN5g1-SEC61-NRg-1	RPN5g1	SEC61-NRg-1	yes	double
6794	RPN5g1-SEC61-NRg-7	RPN5g1	SEC61-NRg-7	yes	double
6795	RPN5g1-TUS1-TRg-3	RPN5g1	TUS1-TRg-3	yes	double
6796	RPN5g1-OLE1-NRg-2	RPN5g1	OLE1-NRg-2	yes	double
6797	RPN5g1-AFG2-TRg-1	RPN5g1	AFG2-TRg-1	yes	double
6798	RPN5g1-TOA2-NRg-1	RPN5g1	TOA2-NRg-1	yes	double
6799	RPN5g1-USO1-TRg-1	RPN5g1	USO1-TRg-1	yes	double
6800	RPN5g1-UTP22-NRg-2	RPN5g1	UTP22-NRg-2	yes	double
6801	RPN5g1-RIB1-TRg-3	RPN5g1	RIB1-TRg-3	yes	double
6802	RPN5g1-RIB1-TRg-7	RPN5g1	RIB1-TRg-7	yes	double
6803	RPN5g1-RIB1-TRg-4	RPN5g1	RIB1-TRg-4	yes	double
