S1-R1,A1,wt,no_atc,r1,-,wt-no_atc-r1
S1-R2,A2,wt,no_atc,r2,-,wt-no_atc-r2
S1-R3,A3,wt,no_atc,r3,-,wt-no_atc-r3
S2-R1,A4,cog8,no_atc,r1,-,cog8-no_atc-r1
S2-R2,A5,cog8,no_atc,r2,-,cog8-no_atc-r2
S2-R3,A6,cog8,no_atc,r3,-,cog8-no_atc-r3
S3-R1,A7,ycr016w,no_atc,r1,-,ycr016w-no_atc-r1
S3-R2,A8,ycr016w,no_atc,r2,-,ycr016w-no_atc-r2
S3-R3,A9,ycr016w,no_atc,r3,-,ycr016w-no_atc-r3
S4-R1,A10,cdc25,no_atc,r1,-,cdc25-no_atc-r1
S4-R2,A11,cdc25,no_atc,r2,-,cdc25-no_atc-r2
S4-R3,A12,cdc25,no_atc,r3,-,cdc25-no_atc-r3
S5-R1,B1,wt,atc,r1,-,wt-atc-r1
S5-R2,B2,wt,atc,r2,-,wt-atc-r2
S5-R3,B3,wt,atc,r3,-,wt-atc-r3
S6-R1,B4,cog8,atc,r1,-,cog8-atc-r1
S6-R2,B5,cog8,atc,r2,-,cog8-atc-r2
S6-R3,B6,cog8,atc,r3,-,cog8-atc-r3
S7-R1,B7,ycr016w,atc,r1,-,ycr016w-atc-r1
S7-R2,B8,ycr016w,atc,r2,-,ycr016w-atc-r2
S7-R3,B9,ycr016w,atc,r3,-,ycr016w-atc-r3
S8-R1,B10,cdc25,atc,r1,-,cdc25-atc-r1
S8-R2,B11,cdc25,atc,r2,-,cdc25-atc-r2
S8-R3,B12,cdc25,atc,r3,-,cdc25-atc-r3
S9-R1,C1,cog8_cdc25,no_atc,r1,-,cog8_cdc25-no_atc-r1
S9-R2,C2,cog8_cdc25,no_atc,r2,-,cog8_cdc25-no_atc-r2
S9-R3,C3,cog8_cdc25,no_atc,r3,-,cog8_cdc25-no_atc-r3
S10-R1,C4,ycr_cdc25,no_atc,r1,-,ycr_cdc25-no_atc-r1
S10-R2,C5,ycr_cdc25,no_atc,r2,-,ycr_cdc25-no_atc-r2
S10-R3,C6,ycr_cdc25,no_atc,r3,-,ycr_cdc25-no_atc-r3
S11-R1,C7,cyr1,no_atc,r1,-,cyr1-no_atc-r1
S11-R2,C8,cyr1,no_atc,r2,-,cyr1-no_atc-r2
S11-R3,C9,cyr1,no_atc,r3,-,cyr1-no_atc-r3
S12-R1,C10,cog8_cyr1,no_atc,r1,-,cog8_cyr1-no_atc-r1
S12-R2,C11,cog8_cyr1,no_atc,r2,-,cog8_cyr1-no_atc-r2
S12-R3,C12,cog8_cyr1,no_atc,r3,-,cog8_cyr1-no_atc-r3
S13-R1,D1,cog8_cdc25,atc,r1,-,cog8_cdc25-atc-r1
S13-R2,D2,cog8_cdc25,atc,r2,-,cog8_cdc25-atc-r2
S13-R3,D3,cog8_cdc25,atc,r3,-,cog8_cdc25-atc-r3
S14-R1,D4,ycr_cdc25,atc,r1,-,ycr_cdc25-atc-r1
S14-R2,D5,ycr_cdc25,atc,r2,-,ycr_cdc25-atc-r2
S14-R3,D6,ycr_cdc25,atc,r3,-,ycr_cdc25-atc-r3
S15-R1,D7,cyr1,atc,r1,-,cyr1-atc-r1
S15-R2,D8,cyr1,atc,r2,-,cyr1-atc-r2
S15-R3,D9,cyr1,atc,r3,-,cyr1-atc-r3
S16-R1,D10,cog8_cyr1,atc,r1,-,cog8_cyr1-atc-r1
S16-R2,D11,cog8_cyr1,atc,r2,-,cog8_cyr1-atc-r2
S16-R3,D12,cog8_cyr1,atc,r3,-,cog8_cyr1-atc-r3
S17-R1,E1,ycr_cyr1,no_atc,r1,-,ycr_cyr1-no_atc-r1
S17-R2,E2,ycr_cyr1,no_atc,r2,-,ycr_cyr1-no_atc-r2
S17-R3,E3,ycr_cyr1,no_atc,r3,-,ycr_cyr1-no_atc-r3
S18-R1,E4,,,,,
S18-R2,E5,,,,,
S18-R3,E6,,,,,
S19-R1,E7,,,,,
S19-R2,E8,,,,,
S19-R3,E9,,,,,
S20-R1,E10,,,,,
S20-R2,E11,,,,,
S20-R3,E12,,,,,
S21-R1,F1,ycr_cyr1,atc,r1,-,ycr_cyr1-atc-r1
S21-R2,F2,ycr_cyr1,atc,r2,-,ycr_cyr1-atc-r2
S21-R3,F3,ycr_cyr1,atc,r3,-,ycr_cyr1-atc-r3
S22-R1,F4,,,,,
S22-R2,F5,,,,,
S22-R3,F6,,,,,
S23-R1,F7,,,,,
S23-R2,F8,,,,,
S23-R3,F9,,,,,
S24-R1,F10,,,,,
S24-R2,F11,,,,,
S24-R3,F12,,,,,
S25-R1,G1,,,,,
S25-R2,G2,,,,,
S25-R3,G3,,,,,
S26-R1,G4,,,,,
S26-R2,G5,,,,,
S26-R3,G6,,,,,
S27-R1,G7,,,,,
S27-R2,G8,,,,,
S27-R3,G9,,,,,
S28-R1,G10,,,,,
S28-R2,G11,,,,,
S28-R3,G12,,,,,
S29-R1,H1,,,,,
S29-R2,H2,,,,,
S29-R3,H3,,,,,
S30-R1,H4,,,,,
S30-R2,H5,,,,,
S30-R3,H6,,,,,
S31-R1,H7,,,,,
S31-R2,H8,,,,,
S31-R3,H9,,,,,
S32-R1,H10,,,,,
S32-R2,H11,,,,,
S32-R3,H12,,,,,
