"strain"	"query"	"array"	"r1"	"r2"	"r3"	"mean"	"sd"	"gi_score"
"PRE7g7-RPL15A-NRg-4"	"PRE7g7-RPL15A-NRg-4"	"PRE7g7"	"RPL15A-NRg-4"	NA	NA	NA	NA	NA	NA
"PRE7g7-RPL15A-NRg-5"	"PRE7g7-RPL15A-NRg-5"	"PRE7g7"	"RPL15A-NRg-5"	0.153805011678715	NA	0.0533065400686816	NA	NA	NA
"PRE7g7-KRE33-TRg-1"	"PRE7g7-KRE33-TRg-1"	"PRE7g7"	"KRE33-TRg-1"	0.281472718440336	0.447290482250932	0.453429840844942	0.394064347178737	0.0975555179242103	-0.00115473045236869
"PRE7g7-PMI40-NRg-1"	"PRE7g7-PMI40-NRg-1"	"PRE7g7"	"PMI40-NRg-1"	0.36306188918348	0.383493966670004	0.392029042112416	0.379528299321967	0.0148851897985399	-0.0365431553116758
"PRE7g7-NOP19-NRg-3"	"PRE7g7-NOP19-NRg-3"	"PRE7g7"	"NOP19-NRg-3"	0.428495125043111	0.448759617343133	0.540829515718258	0.4726947527015	0.0598700414277178	0.0385418346362838
"PRE7g7-SRP14-NRg-4"	"PRE7g7-SRP14-NRg-4"	"PRE7g7"	"SRP14-NRg-4"	0.44134471032612	0.300953048642765	0.173477318588677	0.305258359185854	0.13398558378874	-0.0268805520671877
"PRE7g7-SEC27-TRg-2"	"PRE7g7-SEC27-TRg-2"	"PRE7g7"	"SEC27-TRg-2"	0.0498070526066761	NA	NA	NA	NA	NA
"PRE7g7-GPI14-TRg-3"	"PRE7g7-GPI14-TRg-3"	"PRE7g7"	"GPI14-TRg-3"	0.423952763144485	0.468621454701909	0.414611319579698	0.435728512475364	0.0288665009692492	-0.0114883959507911
"PRE7g7-PAH1-TRg-7"	"PRE7g7-PAH1-TRg-7"	"PRE7g7"	"PAH1-TRg-7"	0.35073270038854	0.295842328006842	0.501988675370878	0.382854567922087	0.106761134844406	0.141616549157976
"PRE7g7-PAH1-TRg-6"	"PRE7g7-PAH1-TRg-6"	"PRE7g7"	"PAH1-TRg-6"	0.446897939113407	0.355282664164829	0.361933972305777	0.388038191861338	0.0510824075385016	0.136879968655373
"PRE7g7-PAH1-TRg-5"	"PRE7g7-PAH1-TRg-5"	"PRE7g7"	"PAH1-TRg-5"	0.272158633046361	0.355513544601174	0.471546621814851	0.366406266487462	0.100139308260318	0.0865092444598741
"PRE7g7-PAH1-TRg-3"	"PRE7g7-PAH1-TRg-3"	"PRE7g7"	"PAH1-TRg-3"	0.351631933246959	0.470490209786621	0.353465031868574	0.391862391634052	0.0680998561174273	0.0883476497231919
