"strain"	"gi_score_method1"	"zscore_method1"	"gi_score_method2"	"qval_method2"
"64"	"PRE7g7-LSM4-TRg-1"	-0.0684867278158879	-0.921600001823978	-0.063896783557892	0.804610697418085
"65"	"PRE7g7-NOP53-NRg-1"	0.125869160819257	1.56604722781558	0.12672717201591	0.597836685633921
"66"	"PRE7g7-ATP3-TRg-4"	NA	NA	NA	NA
"67"	"PRE7g7-AFG2-NRg-3"	0.143999534995496	1.79810592903928	0.14887019689582	0.345615322286444
"68"	"PRE7g7-PRO3-NRg-3"	NA	NA	NA	NA
"69"	"PRE7g7-NRD1-NRg-10"	0.0737527048727512	0.898985590710579	0.0734026050068923	0.625264076808819
"70"	"PRE7g7-SEC61-TRg-2"	-0.0106153726276695	-0.180878856607152	-0.00799419101192901	0.945576472073295
"71"	"PRE7g7-RHO3-TRg-4"	-0.0282949141230011	-0.407167150370773	-0.0247962474714948	0.55240296597878
"72"	"PRE7g7-SNF2-TRg-6"	NA	NA	NA	NA
"73"	"PRE7g7-SMD2-NRg-3"	NA	NA	NA	NA
"74"	"PRE7g7-RSC4-TRg-2"	-0.086473640133893	-1.15182247108835	-0.08371782666874	0.604412678137021
"75"	"PRE7g7-RSC4-TRg-1"	0.130490515344941	1.62519799429728	0.131858656693493	0.731509053437751
"76"	"PRE7g7-TIF34-TRg-2"	0.0278616677852973	0.311605851009461	0.0280829260182533	0.145104333058886
"77"	"PRE7g7-BET1-NRg-1"	NA	NA	NA	NA
"78"	"PRE7g7-CDC8-NRg-2"	-0.0314716149874072	-0.44782715383261	-0.0277922627843447	0.799446605225677
"79"	"PRE7g7-PRP42-TRg-2"	-0.04560186712634	-0.628686518755235	-0.0425280172601719	0.769398191506053
"80"	"PRE7g7-RRB1-TRg-2"	0.0707022926767584	0.85994201193399	0.0740878677086702	0.504139074852165
"81"	"PRE7g7-SPC24-TRg-1"	-0.0450946529982874	-0.622194460143866	-0.0453577647856801	0.694201696234825
"82"	"PRE7g7-ILS1-NRg-1"	0.0214461638813807	0.229490970799785	0.0230199419828947	0.920575444027099
"83"	"PRE7g7-GFA1-TRg-2"	-0.0221360996570751	-0.328337752138409	-0.0183794181564832	0.909082810553089
"84"	"PRE7g7-SEC21-NRg-10"	0.184914989376353	2.32180097864519	0.187582886549207	0.551330759775608
"85"	"PRE7g7-RPC10-NRg-1"	-0.063203015934082	-0.853971429737528	-0.0629586792573119	0.589462769535262
"86"	"PRE7g7-RPB10-TRg-3"	-0.07961870689606	-1.06408313991495	-0.0788897587101917	0.642666635408893
"87"	"PRE7g7-RPB10-TRg-2"	NA	NA	NA	NA
"88"	"PRE7g7-YNL181W-TRg-1"	-0.126021296413614	-1.6580104660797	-0.122337404879774	0.487876365078557
"89"	"PRE7g7-RAD3-NRg-1"	-0.0747736846176111	-1.00206955065267	-0.0716657898900148	0.44673221088675
"90"	"PRE7g7-NOP10-TRg-1"	0.041870078111384	0.490905708523746	0.0445866086476144	0.727732222469651
"91"	"PRE7g7-BFR2-TRg-3"	0.0339483914626243	0.389512527261028	0.03735124143687	0.754297567102439
"92"	"PRE7g7-MCM2-TRg-6"	-0.12677587894508	-1.66766870261227	-0.122580560263489	0.571011323553185
"93"	"PRE7g7-MCM2-TRg-4"	NA	NA	NA	NA
"94"	"PRE7g7-MPP10-TRg-1"	0.0592500502365781	0.713359681038133	0.0616353630091879	0.44967553246442
"95"	"PRE7g7-RET2-TRg-4"	-0.0270585355023198	-0.391342191980666	-0.0243913896350903	0.882927492757991
"96"	"PRE7g7-RET2-TRg-1"	NA	NA	NA	NA
"97"	"PRE7g7-RPS2-NRg-1"	NA	NA	NA	NA
"98"	"PRE7g7-RPS2-NRg-2"	-0.00980390603025826	-0.170492535682322	-0.0091580852993748	0.922918839030578
"99"	"PRE7g7-ORC4-NRg-3"	-0.0149837496367881	-0.236791651640366	-0.0115872032407658	0.846546388819078
"100"	"PRE7g7-TIP20-TRg-7"	-0.105987900787589	-1.40159414919151	-0.103056238504399	0.690636238569441
"101"	"PRE7g7-SMT3-TRg-1"	0.0375524758686543	0.435642802247852	0.0402865771550181	0.823272161633239
"102"	"PRE7g7-MSS18-NRg-6"	0.0269894296499524	0.300441688214013	0.0304217612211553	0.924563796843752
"103"	"PRE7g7-YEF3-NRg-9"	-0.0396637644719372	-0.552682108900327	-0.0406908801970549	0.786127480873461
"104"	"PRE7g7-ASK1-NRg-1"	NA	NA	NA	NA
"105"	"PRE7g7-SMC1-TRg-1"	-0.0234064398262833	-0.344597399452533	-0.0220709174944033	0.925860520740714
"106"	"PRE7g7-NIP1-NRg-1"	NA	NA	NA	NA
"107"	"PRE7g7-RPP1-NRg-1"	0.0164923703751196	0.166085170344772	0.0188699721612698	0.90397259933985
"108"	"PRE7g7-YDJ1-TRg-6"	0.0518600948619027	0.618772364213986	0.0542567998276764	0.659131310001461
"109"	"PRE7g7-SUB2-NRg-1"	0.0993935952562912	1.22717472033271	0.100858976584483	0.683344563718771
"110"	"PRE7g7-TIM10-NRg-8"	-0.0793639825570756	-1.06082281011149	-0.0758264267581636	0.499766641848771
"111"	"PRE7g7-TIM10-NRg-4"	0.076455383951756	0.933578379077864	0.0790215361664462	0.350929933261555
"112"	"PRE7g7-TIM10-NRg-7"	NA	NA	NA	NA
"113"	"PRE7g7-SKI6-TRg-4"	-0.127482383842723	-1.6767115721836	-0.12400401094534	0.479688822008623
"114"	"PRE7g7-TUB4-TRg-1"	NA	NA	NA	NA
"115"	"PRE7g7-CDC37-NRg-2"	NA	NA	NA	NA
"116"	"PRE7g7-ISD11-TRg-3"	NA	NA	NA	NA
"117"	"PRE7g7-YOS1-TRg-4"	NA	NA	NA	NA
"118"	"PRE7g7-SSC1-TRg-6"	0.148014383698977	1.84949375847308	0.148599272350237	0.362068730901967
"119"	"PRE7g7-MTR3-TRg-5"	0.0462506129808744	0.546974117404756	0.0477288628942004	0.886080902121288
"120"	"PRE7g7-MTR3-TRg-6"	-0.0492495285945181	-0.675374555890094	-0.0460599140421269	0.365010629560094
"121"	"PRE7g7-TFA1-TRg-2"	NA	NA	NA	NA
"122"	"PRE7g7-CDC3-NRg-3"	-0.0211578325734078	-0.315816477801818	-0.0174852136724984	0.773467858314982
