"strain"	"query"	"array"	"r1"	"r2"	"r3"	"mean"	"sd"	"gi_score"
"PRE7g7-RPL15A-NRg-4"	"PRE7g7-RPL15A-NRg-4"	"PRE7g7"	"RPL15A-NRg-4"	0.452712703115749	0.315351994259448	0.376518002998596	0.381527566791264	0.0688172426171011	-0.00259987943283585
"PRE7g7-RPL15A-NRg-5"	"PRE7g7-RPL15A-NRg-5"	"PRE7g7"	"RPL15A-NRg-5"	0.522231566344108	0.413604239141396	0.355381692269785	0.430405832585096	0.0846843567392464	-0.0213139995128217
"PRE7g7-KRE33-TRg-1"	"PRE7g7-KRE33-TRg-1"	"PRE7g7"	"KRE33-TRg-1"	0.615694583779787	0.625447918531606	0.547116637282721	0.596086379864705	0.0426885072484917	-0.00189691841208472
"PRE7g7-PMI40-NRg-1"	"PRE7g7-PMI40-NRg-1"	"PRE7g7"	"PMI40-NRg-1"	0.66596019502379	0.78737884202763	0.581793985012086	0.678377674021169	0.103353416474799	0.0426957514279835
"PRE7g7-NOP19-NRg-3"	"PRE7g7-NOP19-NRg-3"	"PRE7g7"	"NOP19-NRg-3"	0.702352469883808	0.58090775093814	0.627511748733444	0.636923989851797	0.0612670192852618	0.0105044365225171
"PRE7g7-SRP14-NRg-4"	"PRE7g7-SRP14-NRg-4"	"PRE7g7"	"SRP14-NRg-4"	0.645125671189946	0.621142309551339	0.434306499279041	0.566858160006775	0.115417752014724	0.0286604312871777
"PRE7g7-SEC27-TRg-2"	"PRE7g7-SEC27-TRg-2"	"PRE7g7"	"SEC27-TRg-2"	0.286845774848752	0.117852667183843	0.343818060120425	0.249505500717674	0.117519410121835	0.013334219142053
"PRE7g7-GPI14-TRg-3"	"PRE7g7-GPI14-TRg-3"	"PRE7g7"	"GPI14-TRg-3"	0.649260007003417	0.679724085840196	0.554682044556363	0.627888712466658	0.0652029692172038	-0.024775338132042
"PRE7g7-PAH1-TRg-7"	"PRE7g7-PAH1-TRg-7"	"PRE7g7"	"PAH1-TRg-7"	0.697810103592299	0.689467270680195	0.466172805595476	0.617816726622657	0.131393720563896	0.193092405087943
"PRE7g7-PAH1-TRg-6"	"PRE7g7-PAH1-TRg-6"	"PRE7g7"	"PAH1-TRg-6"	0.57898088926237	0.669437922363884	0.51862633471516	0.589015048780472	0.0759048549844357	0.166952132548734
"PRE7g7-PAH1-TRg-5"	"PRE7g7-PAH1-TRg-5"	"PRE7g7"	"PAH1-TRg-5"	0.606339995808703	0.874258075306686	0.450114288088522	0.643570786401304	0.214508943601553	0.191729285472075
"PRE7g7-PAH1-TRg-3"	"PRE7g7-PAH1-TRg-3"	"PRE7g7"	"PAH1-TRg-3"	0.597753397817653	0.661139236264006	0.645729671011022	0.634874101697561	0.0330578835941794	0.137781807292787
"PRE7g7-COG3-TRg-1"	"PRE7g7-COG3-TRg-1"	"PRE7g7"	"COG3-TRg-1"	0.481048859931184	0.524252545099207	0.459603065901965	0.488301490310785	0.0329293072457648	-0.0239465411055378
"PRE7g7-HTS1-NRg-5"	"PRE7g7-HTS1-NRg-5"	"PRE7g7"	"HTS1-NRg-5"	0.702970117308325	0.704330872032694	0.522660152784409	0.643320380708476	0.104497037591363	0.00684806650725278
"PRE7g7-MSN5-TRg-7"	"PRE7g7-MSN5-TRg-7"	"PRE7g7"	"MSN5-TRg-7"	NA	NA	NA	NA	NA	NA
"PRE7g7-ERG26-TRg-1"	"PRE7g7-ERG26-TRg-1"	"PRE7g7"	"ERG26-TRg-1"	0.69220410499297	0.654768774070339	0.430110691780473	0.592361190281261	0.141754256366916	0.0544727687735811
"PRE7g7-SMD2-TRg-5"	"PRE7g7-SMD2-TRg-5"	"PRE7g7"	"SMD2-TRg-5"	0.689136936234674	0.656473826818717	0.71910008398574	0.688236949013044	0.031322827210149	-0.00715523442401844
"PRE7g7-SMD2-TRg-4"	"PRE7g7-SMD2-TRg-4"	"PRE7g7"	"SMD2-TRg-4"	0.607619033443765	0.775478793806991	0.697299131428802	0.693465652893186	0.083995514496681	0.0035937436015121
"PRE7g7-SMD2-TRg-1"	"PRE7g7-SMD2-TRg-1"	"PRE7g7"	"SMD2-TRg-1"	0.631100185239751	0.813993000160632	0.663359453284452	0.702817546228279	0.0976224936246439	0.0533287009855004
"PRE7g7-PRE7-TRg-4"	"PRE7g7-PRE7-TRg-4"	"PRE7g7"	"PRE7-TRg-4"	0.442375102774813	0.393657541319936	0.415655878620537	0.417229507571762	0.0243968733567341	0.0402519388801874
"PRE7g7-PRE7-TRg-7"	"PRE7g7-PRE7-TRg-7"	"PRE7g7"	"PRE7-TRg-7"	0.525877264958091	0.654635037090055	0.541096530514088	0.573869610854078	0.0703576368799097	-0.00582296861600085
"PRE7g7-SEC6-TRg-3"	"PRE7g7-SEC6-TRg-3"	"PRE7g7"	"SEC6-TRg-3"	0.418162497765933	0.50150726101006	0.37613091949627	0.431933559424088	0.0638125250812104	-0.0639987759992711
"PRE7g7-ESF2-NRg-1"	"PRE7g7-ESF2-NRg-1"	"PRE7g7"	"ESF2-NRg-1"	0.618896139845238	0.604938919612466	0.652281039089834	0.625372032849179	0.0243263635137112	0.0449414342347193
"PRE7g7-ESF2-NRg-3"	"PRE7g7-ESF2-NRg-3"	"PRE7g7"	"ESF2-NRg-3"	0.498955550442562	0.575014144150242	0.606524194751908	0.560164629781571	0.0553004011502326	0.00670465818503563
"PRE7g7-AFG2-TRg-2"	"PRE7g7-AFG2-TRg-2"	"PRE7g7"	"AFG2-TRg-2"	0.602947079729556	0.766809498052453	0.588550080965253	0.652768886249088	0.0990240589388221	-0.0164499008374395
"PRE7g7-RRP36-TRg-3"	"PRE7g7-RRP36-TRg-3"	"PRE7g7"	"RRP36-TRg-3"	0.505067780357322	0.579174975495107	0.356904944059964	0.480382566637464	0.113172485838392	0.00117097247313624
"PRE7g7-RRP36-TRg-5"	"PRE7g7-RRP36-TRg-5"	"PRE7g7"	"RRP36-TRg-5"	0.620947080703093	0.65513524608361	0.549175375820055	0.608419234202253	0.0540794205777834	0.0347106489784382
"PRE7g7-GCR1-NRg-2"	"PRE7g7-GCR1-NRg-2"	"PRE7g7"	"GCR1-NRg-2"	0.587946780348172	0.628448494395404	0.577441655372289	0.597945643371955	0.0269333873307607	-0.011474886593894
"PRE7g7-PRE4-NRg-4"	"PRE7g7-PRE4-NRg-4"	"PRE7g7"	"PRE4-NRg-4"	0.329822282448704	0.439479814787097	0.328206758729266	0.365836285321689	0.0637822824404536	-0.0338029150561102
"PRE7g7-PRE4-NRg-9"	"PRE7g7-PRE4-NRg-9"	"PRE7g7"	"PRE4-NRg-9"	0.619964667718975	0.658197096941578	0.567380514031273	0.615180759563942	0.0455968997389397	0.0243676101495893
"PRE7g7-DSN1-NRg-2"	"PRE7g7-DSN1-NRg-2"	"PRE7g7"	"DSN1-NRg-2"	0.550595212108205	0.63456858817498	0.59791064022868	0.594358146837288	0.0420992533067384	-0.0387561728014607
"PRE7g7-GPI11-TRg-3"	"PRE7g7-GPI11-TRg-3"	"PRE7g7"	"GPI11-TRg-3"	0.491701210512666	0.483254222869754	0.397393041960271	0.457449491780897	0.0521816133695853	-0.0681710977362592
"PRE7g7-POP3-TRg-1"	"PRE7g7-POP3-TRg-1"	"PRE7g7"	"POP3-TRg-1"	0.60301087943425	0.688477111629576	0.626823737241708	0.639437242768512	0.0441071944547868	-0.00757266467913797
"PRE7g7-MNE1-TRg-5"	"PRE7g7-MNE1-TRg-5"	"PRE7g7"	"MNE1-TRg-5"	0.238598344403513	0.189956086471986	0.220294544211894	0.216282991695798	0.0245680021442797	-0.176581041145359
