"strain"	"query"	"array"	"r1"	"r2"	"r3"	"mean"	"sd"	"gi_score"
"PRE7g7-DSN1-NRg-2"	"PRE7g7-DSN1-NRg-2"	"PRE7g7"	"DSN1-NRg-2"	-0.0155714039376331	0.13436492832753	-0.130483702499117	-0.00389672603640689	0.132809724383271	-0.147698793365163
"PRE7g7-GPI11-TRg-3"	"PRE7g7-GPI11-TRg-3"	"PRE7g7"	"GPI11-TRg-3"	0.0111198984260809	0.239895138863744	0.273366501430051	0.174793846239959	0.142730353894139	-0.0549743312054738
"PRE7g7-POP3-TRg-1"	"PRE7g7-POP3-TRg-1"	"PRE7g7"	"POP3-TRg-1"	0.205447925322197	0.3438946488636	0.111875578809047	0.220406050998281	0.116730550243075	0.018947269261148
"PRE7g7-MNE1-TRg-5"	"PRE7g7-MNE1-TRg-5"	"PRE7g7"	"MNE1-TRg-5"	0.0150011139794898	0.08653587451094	NA	NA	NA	NA
"PRE7g7-RRP12-NRg-1"	"PRE7g7-RRP12-NRg-1"	"PRE7g7"	"RRP12-NRg-1"	0.149424563043359	0.116378171735625	0.332547905919502	0.199450213566162	0.116444247504779	0.002005700885929
"PRE7g7-RSC6-TRg-2"	"PRE7g7-RSC6-TRg-2"	"PRE7g7"	"RSC6-TRg-2"	0.219426973295149	0.250148305871441	0.106007472233306	0.191860917133299	0.0759214104828991	0.0053235445569641
"PRE7g7-CDC25-TRg-1"	"PRE7g7-CDC25-TRg-1"	"PRE7g7"	"CDC25-TRg-1"	0.0433089953656833	0.0265371842879406	0.0940479416872094	0.0546313737802778	0.035150715225699	-0.0138789296077165
"PRE7g7-CDC25-TRg-9"	"PRE7g7-CDC25-TRg-9"	"PRE7g7"	"CDC25-TRg-9"	NA	NA	-0.0483700351166894	NA	NA	NA
"PRE7g7-YPP1-NRg-3"	"PRE7g7-YPP1-NRg-3"	"PRE7g7"	"YPP1-NRg-3"	0.0367704408357229	0.200377695116233	0.197542537026096	0.144896890992684	0.0936509820984724	-0.0456651222018595
"PRE7g7-NFS1-NRg-9"	"PRE7g7-NFS1-NRg-9"	"PRE7g7"	"NFS1-NRg-9"	-0.119919300410468	0.265965155277123	0.194560762479689	0.113535539115448	0.205305914189645	-0.0683123833628858
"PRE7g7-NFS1-NRg-8"	"PRE7g7-NFS1-NRg-8"	"PRE7g7"	"NFS1-NRg-8"	NA	0.279558843578383	NA	NA	NA	NA
"PRE7g7-UBA2-TRg-1"	"PRE7g7-UBA2-TRg-1"	"PRE7g7"	"UBA2-TRg-1"	NA	0.124338249912777	0.366408818279212	NA	NA	NA
"PRE7g7-ARP2-NRg-3"	"PRE7g7-ARP2-NRg-3"	"PRE7g7"	"ARP2-NRg-3"	NA	NA	NA	NA	NA	NA
"PRE7g7-MAK16-TRg-1"	"PRE7g7-MAK16-TRg-1"	"PRE7g7"	"MAK16-TRg-1"	0.12114821430694	0.341055237986403	0.1308803902914	0.197694614194914	0.12424926620613	0.0416634607440605
"PRE7g7-CEP3-NRg-1"	"PRE7g7-CEP3-NRg-1"	"PRE7g7"	"CEP3-NRg-1"	0.177187254117852	0.365519593094462	0.297981861280912	0.280229569497742	0.095412920371228	0.166953432062668
