"strain"	"gi_score_method1"	"zscore_method1"	"gi_score_method2"	"qval_method2"
"1"	"PRE7g7-RPL15A-NRg-4"	NA	NA	NA	NA
"2"	"PRE7g7-RPL15A-NRg-5"	NA	NA	NA	NA
"3"	"PRE7g7-KRE33-TRg-1"	-0.00115473045236869	-0.0597879009213231	0.0023577234798865	0.978555619487347
"4"	"PRE7g7-PMI40-NRg-1"	-0.0365431553116758	-0.512740048040596	-0.0342110106289904	0.290030471891075
"5"	"PRE7g7-NOP19-NRg-3"	0.0385418346362838	0.448306043967445	0.0398700927126893	0.647059262191536
"6"	"PRE7g7-SRP14-NRg-4"	-0.0268805520671877	-0.389064103045788	-0.0197685810003295	0.919028799897714
"7"	"PRE7g7-SEC27-TRg-2"	NA	NA	NA	NA
"8"	"PRE7g7-GPI14-TRg-3"	-0.0114883959507911	-0.192053069369242	-0.0109332845936062	0.711603533048062
"9"	"PRE7g7-PAH1-TRg-7"	0.141616549157976	1.76760503627701	0.153898572287107	0.453929677444741
"10"	"PRE7g7-PAH1-TRg-6"	0.136879968655373	1.70697944140561	0.148599735884965	0.411445795908317
"11"	"PRE7g7-PAH1-TRg-5"	0.0865092444598741	1.06226219934098	0.0966352035001235	0.497280306763064
"12"	"PRE7g7-PAH1-TRg-3"	0.0883476497231919	1.08579276377287	0.0971393488840142	0.461265056654809
"13"	"PRE7g7-COG3-TRg-1"	NA	NA	NA	NA
"14"	"PRE7g7-HTS1-NRg-5"	0.110984162989068	1.37552753800586	0.113250590419737	0.212317460864561
"15"	"PRE7g7-MSN5-TRg-7"	NA	NA	NA	NA
"16"	"PRE7g7-ERG26-TRg-1"	NA	NA	NA	NA
"17"	"PRE7g7-SMD2-TRg-5"	0.0559180148581842	0.670711482229591	0.054647103088826	0.547760326376735
"18"	"PRE7g7-SMD2-TRg-4"	0.0612716207790556	0.73923465912514	0.0595285862222058	0.561030174724147
"19"	"PRE7g7-SMD2-TRg-1"	-0.0201296561975224	-0.30265639229572	-0.0178411176473922	0.866374230180533
"20"	"PRE7g7-PRE7-TRg-4"	-0.067903558336882	-0.914135756984025	-0.0563199680272914	0.574517944864975
"21"	"PRE7g7-PRE7-TRg-7"	-0.0337205626990503	-0.47661243316611	-0.0298250896524665	0.556258095176684
"22"	"PRE7g7-SEC6-TRg-3"	NA	NA	NA	NA
"23"	"PRE7g7-ESF2-NRg-1"	NA	NA	NA	NA
"24"	"PRE7g7-ESF2-NRg-3"	-0.039783494520701	-0.554214586903455	-0.0335881077466639	0.822394585385113
"25"	"PRE7g7-AFG2-TRg-2"	0.124917398447262	1.55386519904046	0.128312679189028	0.181354295305467
"26"	"PRE7g7-RRP36-TRg-3"	-0.0301985836693866	-0.431533061311116	-0.0222236515580159	0.829583140537319
