"strain"	"gi_score_method1"	"zscore_method1"	"gi_score_method2"	"qval_method2"
"1"	"PRE7g7-RPL15A-NRg-4"	-0.148301732496098	-1.94318765049628	-0.148892109012543	0.359176526485904
"2"	"PRE7g7-RPL15A-NRg-5"	0.110929075557524	1.37482244953424	0.112679185493824	0.582694212668801
"3"	"PRE7g7-KRE33-TRg-1"	0.00425791400708375	0.00949093641741845	0.00699214728272705	0.972138379239644
"4"	"PRE7g7-PMI40-NRg-1"	0.0242577526147912	0.265477742143176	0.0276881365826527	0.878421139688011
"5"	"PRE7g7-NOP19-NRg-3"	-0.036070836277725	-0.506694627217152	-0.0338153165349459	0.862985808803841
"6"	"PRE7g7-SRP14-NRg-4"	0.08520395211152	1.04555518358213	0.0873595855573498	0.761990229495965
"7"	"PRE7g7-SEC27-TRg-2"	0.139294109093183	1.73787909571633	0.131978915625011	0.444779387587444
"8"	"PRE7g7-GPI14-TRg-3"	0.0957438564870211	1.18046009489974	0.0971436173745924	0.6135310184888
"9"	"PRE7g7-PAH1-TRg-7"	0.116463375064944	1.4456584037948	0.117763425350848	0.522189308814195
"10"	"PRE7g7-PAH1-TRg-6"	0.148544573865403	1.85627989759113	0.149276333275953	0.477401278436639
"11"	"PRE7g7-PAH1-TRg-5"	0.0449984182677378	0.530946721831724	0.047539691831254	0.827413618445776
"12"	"PRE7g7-PAH1-TRg-3"	0.0232433182709278	0.25249354700052	0.0256523843811168	0.814798311041601
"13"	"PRE7g7-COG3-TRg-1"	0.0266522914146796	0.296126506395383	0.0257854087552358	0.904304404636658
"14"	"PRE7g7-HTS1-NRg-5"	0.0315218592904132	0.358454265645071	0.0359263828862832	0.532347389716776
"15"	"PRE7g7-MSN5-TRg-7"	NA	NA	NA	NA
"16"	"PRE7g7-ERG26-TRg-1"	0.0178053768470828	0.182890922593471	0.0168773500387596	0.933322270421069
"17"	"PRE7g7-SMD2-TRg-5"	-0.0190826168817828	-0.28925487165534	-0.0147816371277847	0.887425386590697
"18"	"PRE7g7-SMD2-TRg-4"	-0.00432779802986671	-0.100401400332396	-0.000830181781050543	0.99261627871442
"19"	"PRE7g7-SMD2-TRg-1"	-0.10605790394574	-1.40249015066419	-0.101803573832688	0.561105369946386
"20"	"PRE7g7-PRE7-TRg-4"	-0.173372094111857	-2.26407432934851	-0.174114363098716	0.269347205244516
"21"	"PRE7g7-PRE7-TRg-7"	-0.182207166118397	-2.37715833495841	-0.17726575495637	0.323381081383026
"22"	"PRE7g7-SEC6-TRg-3"	0.132907598321876	1.65613531147149	0.133894485899419	0.384308845674151
"23"	"PRE7g7-ESF2-NRg-1"	-0.0840730602652275	-1.12109638451721	-0.0819518406668027	0.307602697236456
"24"	"PRE7g7-ESF2-NRg-3"	0.0585858937063567	0.704858847006015	0.0598354964788181	0.340325433262608
"25"	"PRE7g7-AFG2-TRg-2"	0.0238368861032361	0.260090884976818	0.0274238608716628	0.881744428706147
"26"	"PRE7g7-RRP36-TRg-3"	0.0335390765496081	0.384273524128346	0.0320841756497148	0.69612472269271
"27"	"PRE7g7-RRP36-TRg-5"	0.0260823749195892	0.288831892375228	0.027726085463943	0.816718868287051
"28"	"PRE7g7-GCR1-NRg-2"	0.0246598115491976	0.270623872787077	0.0272822407382759	0.624146467214967
"29"	"PRE7g7-PRE4-NRg-4"	-0.0983907117145495	-1.30435435633876	-0.0963685214678845	0.632263713825718
"30"	"PRE7g7-PRE4-NRg-9"	-0.0221374313581346	-0.328354797170976	-0.021642754270041	0.755534825975304
"31"	"PRE7g7-DSN1-NRg-2"	-0.00590431282283188	-0.120579912466741	-0.00205811235164614	0.986026979914514
"32"	"PRE7g7-GPI11-TRg-3"	-0.0624812179047318	-0.844732816589855	-0.0626187765579475	0.723295595658053
"33"	"PRE7g7-POP3-TRg-1"	0.104671132879765	1.29472426534804	0.107665754411965	0.677193897519915
"34"	"PRE7g7-MNE1-TRg-5"	-0.0618188534408306	-0.836254920009481	-0.0624410386505493	0.558404455203369
"35"	"PRE7g7-RRP12-NRg-1"	0.003791138832823	0.00351647391325378	0.00538901384198021	0.978555619487347
"36"	"PRE7g7-RSC6-TRg-2"	0.0001080361090815	-0.0436251915723407	0.000523034824476391	0.996882227720978
"37"	"PRE7g7-CDC25-TRg-1"	-0.181507351668088	-2.36820109939021	-0.181636027778984	0.444437803185537
"38"	"PRE7g7-CDC25-TRg-9"	-0.158246665070222	-2.07047725381473	-0.165025049572551	0.620683919253318
"39"	"PRE7g7-YPP1-NRg-3"	0.0790318714756035	0.96655598575554	0.0772159306374963	0.685563161036479
"40"	"PRE7g7-NFS1-NRg-9"	0.136375229237364	1.7005190577058	0.132350591871224	0.550560037133167
"41"	"PRE7g7-NFS1-NRg-8"	-0.134549659945664	-1.76716877387705	-0.138892277124869	0.454312593921717
"42"	"PRE7g7-UBA2-TRg-1"	0.0644233860129525	0.779575500391321	0.0667702735734794	0.764210773341484
"43"	"PRE7g7-ARP2-NRg-3"	-0.136450925771203	-1.79150391852806	-0.144708874188438	0.620244366593102
"44"	"PRE7g7-MAK16-TRg-1"	-0.0354970139014325	-0.499350020090949	-0.0340817202143309	0.233632814201552
"45"	"PRE7g7-CEP3-NRg-1"	0.117903817468636	1.46409526506081	0.117673988846529	0.290646810572121
"46"	"PRE7g7-GUK1-TRg-5"	-0.010808161744991	-0.183346450035771	-0.010414026916234	0.917521136407885
"47"	"PRE7g7-GUK1-TRg-2"	0.0394967428398426	0.460528337636162	0.0412774499602703	0.553432431022782
"48"	"PRE7g7-GPI12-NRg-6"	0.0244237815751595	0.267602820452871	0.0226084751280828	0.827413618445776
"49"	"PRE7g7-RPS5-NRg-5"	-0.0498780701899824	-0.683419538574438	-0.0473825981138397	0.616214412627627
"50"	"PRE7g7-RPS5-NRg-2"	-0.0356268191640197	-0.501011455224895	-0.0326302341054062	0.70072864845429
"51"	"PRE7g7-RPC19-NRg-1"	-0.00340137632051485	-0.0885437179388701	-0.00116335488774351	0.990762915060894
"52"	"PRE7g7-TIM54-TRg-1"	-0.0914817431320533	-1.2159234028204	-0.0872702391536031	0.467281997341419
"53"	"PRE7g7-TEN1-TRg-2"	0.0449944519220701	0.53089595481416	0.0465579123258683	0.733775728676194
"54"	"PRE7g7-SAH1-NRg-4"	-0.100118025166546	-1.32646300740024	-0.0988390833452703	0.297355592039161
"55"	"PRE7g7-SAH1-NRg-5"	-0.0998214205095938	-1.32266663283013	-0.0992636978126967	0.621387071373563
"56"	"PRE7g7-SAH1-NRg-3"	0.0373830120484439	0.433473759643427	0.040005110308823	0.689659861404356
"57"	"PRE7g7-ATP15-NRg-5"	-0.0982369325321855	-1.30238606837141	-0.104262008839144	0.471967894074744
"58"	"PRE7g7-SCD5-TRg-5"	-0.148178470284807	-1.94160996277819	-0.144830162898821	0.666691883026284
"59"	"PRE7g7-ARB1-NRg-2"	0.0198822153762318	0.209473300157265	0.0217698623842019	0.817258126152916
"60"	"PRE7g7-ARB1-NRg-4"	-0.00243105086333895	-0.0761240920024328	0.000718398755778356	0.997741376047869
"61"	"PRE7g7-PUP2-TRg-1"	-0.0163530089385598	-0.254317408810014	-0.0127417943820856	0.955510024026526
"62"	"PRE7g7-CCT8-TRg-2"	NA	NA	NA	NA
"63"	"PRE7g7-MCM4-TRg-1"	-0.0684844749545015	-0.921571166451786	-0.0677545991429706	0.358446601483368
"64"	"PRE7g7-LSM4-TRg-1"	-0.0807969477323922	-1.07916396701483	-0.0743984585593361	0.483244516431488
"65"	"PRE7g7-NOP53-NRg-1"	-0.170960977065681	-2.2332133727684	-0.172301677973266	0.511133058672424
"66"	"PRE7g7-ATP3-TRg-4"	0.0168896510659349	0.171170142129451	0.0222688516470117	0.919510782189531
"67"	"PRE7g7-AFG2-NRg-3"	0.0768709834483432	0.938897821383343	0.0805233582221361	0.369178646897179
"68"	"PRE7g7-PRO3-NRg-3"	0.0140336400118524	0.134614789799243	0.0162975260126187	0.447629888774773
"69"	"PRE7g7-NRD1-NRg-10"	0.0824398198058135	1.0101758281073	0.0791532667204904	0.19838207758109
"70"	"PRE7g7-SEC61-TRg-2"	0.025400319951318	0.280101968295249	0.0295221643591305	0.803156391066365
